PROCESS,timestamp,LOTID,c_angle,e_angle
AD05B_SOI,2021-04-23 00:00:00,61074.21,89.012881046,89.070245661
AD05B_SOI,2021-04-23 07:54:00,61074.21,89.01288105,89.07024566
AD05B_SOI,2021-04-30 00:00:00,61607.01,89.309284616,89.50053462
AD05B_SOI,2021-04-30 14:35:00,61607.01,89.30928462,89.50053462
AD05B_SOI,2021-05-04 00:00:00,61607.05,89.491526439,89.558399895
AD05B_SOI,2021-05-04 13:08:00,61607.05,89.49152644,89.55839990000004
AD05B_SOI,2021-05-08 00:00:00,64562.25,89.43359552,89.681990755
AD05B_SOI,2021-05-08 00:00:00,61607.06,89.739613692,89.79699456700001
AD05B_SOI,2021-05-08 21:09:00,64562.25,89.43359552,89.68199076
AD05B_SOI,2021-05-08 21:14:00,61607.06,89.73961369,89.79699457
AD05B_SOI,2021-05-09 00:00:00,64562.23,89.13808183,89.25270625299999
AD05B_SOI,2021-05-09 12:25:00,64562.23,89.13808183,89.25270625
AD05B_SOI,2021-05-14 00:00:00,64562.01,89.25191261799999,89.26147451
AD05B_SOI,2021-05-14 09:33:00,64562.01,89.25191262,89.26147451
AD05B_SOI,2021-05-20 00:00:00,64562.02,89.070245661,89.385782889
AD05B_SOI,2021-05-20 12:38:00,64562.02,89.07024566,89.38578289
AD05B_SOI,2021-05-22 00:00:00,64562.03,89.25191261799999,89.25191261799999
AD05B_SOI,2021-05-22 17:44:00,64562.03,89.25191262,89.25191262
AD05B_SOI,2021-05-25 00:00:00,64562.04,89.43359552,89.557912181
AD05B_SOI,2021-05-25 15:19:00,64562.04,89.43359552,89.55791218
AD05B_SOI,2021-05-29 00:00:00,64562.06,89.13717350600002,89.49097179600003
AD05B_SOI,2021-05-29 13:07:00,64562.06,89.13717351,89.4909718
AD05B_SOI,2021-06-01 00:00:00,64562.7,89.280598425,89.47184624100002
AD04B_SOI,2021-06-01 00:00:00,64562.08,89.19454220899998,89.19454220899998
AD05B_SOI,2021-06-01 10:38:00,64562.7,89.28059843,89.47184624
AD05B_SOI,2021-06-01 10:38:11,64562.7,89.280598425,89.47184624100002
AD04B_SOI,2021-06-01 14:52:00,64562.08,89.19454221,89.19454221
AD04B_SOI,2021-06-01 14:52:42,64562.08,89.19454220899998,89.19454220899998
AD05B_SOI,2021-06-04 00:00:00,64562.09,89.26147451,89.557912181
AD05B_SOI,2021-06-04 12:14:00,64562.09,89.26147451,89.55791218
AD05B_SOI,2021-06-04 12:14:22,64562.09,89.26147451,89.557912181
AD04B_SOI,2021-06-07 00:00:00,64562.11,89.37622047,89.49097179600003
AD04B_SOI,2021-06-07 11:41:00,64562.11,89.37622047,89.4909718
AD04B_SOI,2021-06-07 11:41:31,64562.11,89.37622047,89.49097179600003
AD05B_SOI,2021-06-10 00:00:00,64562.12,89.443158151,89.567475206
AD05B_SOI,2021-06-10 15:17:00,64562.12,89.44315815,89.56747521
AD05B_SOI,2021-06-10 15:17:06,64562.12,89.443158151,89.567475206
AD05B_SOI,2021-06-11 00:00:00,64562.13,89.070245661,89.26147451
AD05B_SOI,2021-06-11 16:38:00,64562.13,89.07024566,89.26147451
AD05B_SOI,2021-06-11 16:38:01,64562.13,89.070245661,89.26147451
AD04B_SOI,2021-06-15 00:00:00,64562.14,88.70831235600002,89.013913591
AD05B_SOI,2021-06-15 00:00:00,64562.15,89.071220876,89.43420752700001
AD04B_SOI,2021-06-15 11:44:37,64562.14,88.70831235600002,89.013913591
AD05B_SOI,2021-06-15 12:05:14,64562.15,89.071220876,89.43420752700001
AD05B_SOI,2021-06-20 00:00:00,64562.16,89.18584117700001,89.47242000600002
AD05B_SOI,2021-06-20 08:25:14,64562.16,89.18584117700001,89.47242000600002
AD05B_SOI,2021-06-22 00:00:00,64562.17,89.19539319200001,89.44376059700001
AD05B_SOI,2021-06-22 10:15:34,64562.17,89.19539319200001,89.44376059700001
AD05B_SOI,2021-06-25 00:00:00,64562.18,88.888598296,89.318846762
AD05B_SOI,2021-06-25 18:14:50,64562.18,88.888598296,89.318846762
AD05B_SOI,2021-06-29 00:00:00,64562.19,88.88975503299999,89.3100209
AD05B_SOI,2021-06-29 08:22:38,64562.19,88.88975503299999,89.3100209
AD05B_SOI,2021-07-06 00:00:00,64562.21,88.888598296,89.26147451
AD05B_SOI,2021-07-06 10:32:24,64562.21,88.888598296,89.26147451
AD05B_SOI,2021-07-11 00:00:00,64562.20,89.13717350600002,89.309284616
AD05B_SOI,2021-07-11 00:00:00,64562.22,89.318846762,89.37622047
AD05B_SOI,2021-07-11 15:35:17,64562.20,89.13717350600002,89.309284616
AD05B_SOI,2021-07-11 16:02:52,64562.22,89.318846762,89.37622047
AD05B_SOI,2021-07-13 14:18:09,unknown_lot,88.992583125,89.20331697799999
AD05B_SOI,2021-07-16 00:00:00,64562.24,88.773885385,89.070245661
AD05B_SOI,2021-07-16 17:18:25,64562.24,88.773885385,89.070245661
AD05B_SOI,2021-07-20 00:00:00,67272.06,88.899305321,89.12853011
AD05B_SOI,2021-07-20 15:18:35,67272.06,88.899305321,89.12853011
AD05B_SOI,2021-07-26 00:00:00,67272.01,88.77515673299999,89.12853011
AD05B_SOI,2021-07-26 18:07:05,67272.01,88.77515673299999,89.12853011
AD05B_SOI,2021-07-27 00:00:00,67272.02,88.76560732,89.262258587
AD05B_SOI,2021-07-27 08:02:12,67272.02,88.76560732,89.262258587
AD05B_SOI,2021-08-03 00:00:00,67272.03,89.12853011,89.31957348700001
AD05B_SOI,2021-08-03 08:50:59,67272.03,89.12853011,89.31957348700001
AD05B_SOI,2021-08-09 00:00:00,C7272.04,89.012881046,89.309284616
AD05B_SOI,2021-08-09 08:36:16,C7272.04,89.012881046,89.309284616
AD05B_SOI,2021-08-16 00:00:00,67272.5,89.013913591,89.12853011
